text,rubric1,rubric2,rubric3,rubric4
"1. CONTRAPOSITION  
Assume the contrapositive of the statement: if x is rational, then x^2 is rational.  
Let x be rational, so x can be written as a/b where a and b are integers, and b ≠ 0.  
Then x^2 = (a/b)^2 = a^2/b^2.  
Thus, x^2 is rational as it can also be expressed as a ratio of integers.",1,1,1,0
"To prove the statement by contraposition, we need to show that if x is rational, then x^2 is rational.",1,0,0,0
"1. CONTRAPOSITION  
Let's show the contrapositive statement: if x is rational, then x^2 is rational.  
1) Assume x is rational.  
2) Then, we have x = p/q, where p and q are integers with q ≠ 0.  
3) Squaring x gives us x^2 = (p/q)^2 = p^2/q^2.  
4) Since p^2 and q^2 are integers, p^2/q^2 is rational.  
5) Hence, it follows that if x is rational, x^2 is rational.",1,1,1,0
"1. In a proof by contraposition, we need to establish that if x is rational, then x^2 is rational.
1. Assume x is irrational. [Assumption]
2. Since x is irrational, x cannot be expressed as p/q where p and q are integers.
3. It follows that x^2 cannot be written in the form (p POWER 2)/(q POWER 2).
4. Therefore, the conclusion is that if x^2 is irrational, then x is irrational.",1,0,0,0
"1. We need to demonstrate that if x is rational, then x^2 is also rational. 

1. Assume x is irrational [This assumption]
2. x cannot be represented as a/b, where a and b are integers [Definition of irrational number]
3. Therefore, x^2 will not be rational as it involves multiplying irrational numbers
4. Conclusion: Since the statement holds in contraposition, the original implication works: if x^2 is irrational, then x is irrational.",1,0,0,0
"1. CONTRAPOSITION  
1) Assume x is rational. [Assumption]  
2) Then x = m/n, where m and n are integers, and n ≠ 0. [Definition of rational numbers]  
3) Therefore, x^2 = (m/n)^2 = m^2/n^2. [Squaring both sides]  
4) Since m^2 and n^2 are integers, and n^2 ≠ 0, x^2 is rational. [Conclusion about the irrational number]  
5) Thus, if x is rational, then x^2 is rational.",0,1,1,0
"1) Let P(x) be the statement ""x^2 is irrational"" and Q(x) be ""x is irrational"".  
2) Assume P(x) is true and ¬Q(x) is true: x^2 is irrational and x is rational.  
3) If x is rational, then x = a/b where a and b are integers, b ≠ 0.  
4) x^2 = (a/b)^2 = a^2/b^2 implies x^2 can be expressed as a rational number because a^2 and b^2 are integers.  
5) This is a contradiction since we assumed x^2 is irrational.  
6) Therefore, P(x) -> ¬Q(x) leads to a contradiction.  
7) Conclude that ¬P(x) -> Q(x). By contraposition, if x^2 is irrational, then x is irrational.",0,0,0,0
"1. Prove by contraposition: We need to show if x is rational, then x^2 is rational.
2. Suppose x is irrational, meaning that x cannot be written as a quotient of two integers.
3. Thus, squaring x will still result in an irrational number because the property of being non-integer remains.
4. Hence, we've demonstrated that if x^2 is irrational, then x is irrational by contraposition.",1,0,0,0
"1. CONTRAPOSITION  
Define p: x^2 is irrational  
Define q: x is irrational  
Using the statement (p -> q), let's prove (not p) given (not q).  
1) (p -> q) is given [Premise]  
2) (not q) is assumed [Premise]  
3) From premises 1) and 2), deduce (not p) via modus tollens",0,0,0,0
"1) Assume x is rational.  
2) x = m/n where m, n are integers with n ≠ 0.  
3) Then x^2 = (m/n)^2.  
4) So, x^2 = m^2/n^2.  
5) Both m^2 and n^2 are integers, so m^2/n^2 is rational.  
6) Therefore, x^2 is rational.",0,1,1,0
